Invalid Reason Details,Planning Application: Application Type
"Please submit a scaled proposed basement floor plan in metric, or confirm that there are no changes proposed at this level.",Full planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Full planning permission
It appears that the red line in the location plan is incorrect. It does not seem to include the property where the new dwelling will be located. Please clarify or amend accordingly.,Full planning permission
"The application must be accompanied by a Heritage Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at Local information requirements: Heritage assessment?Salford City Council .",Full planning permission
The application site is within a Coal Mining Development Referral Area as such a Coal Mining Risk Assessment must accompany this application. Further information on what information should be contained within a Coal Mining Risk Assessment and who can prepare one including further advice relating to coal mining in Salford can be found athttps://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/coal-mining-risk-assessment/,Full planning permission
A scale bar must be included on all plans submitted as outlined in the Council's validation checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/,Full planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Full planning permission
"Please provide scaled existing and proposed elevation drawings in metric, with a scale bar.",Full planning permission
The submitted file statement is blank,Full planning permission
"The question on the application form Residential/Dwelling units has been completed as 45 new units in total, yet the proposal states first and second floors to be turned into 2/3 bedroom flat. The application form or proposal requires amending. We require existing and proposed plans of all elevations and floor layouts The proposed floor layouts submitted show ground, first and roof plan which does not tye in with the proposal of first and second floor Confirmation is the unit it to be shared use ie HMO A Scale must be shown on all plans Heritage Statement is required as there is a listed building within the proposed site area Design and access statement (as above)",Full planning permission
requires new application form,Full planning permission
"The application must be accompanied by a Heritage Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at Local information requirements: Heritage assessment?Salford City Council .",Full planning permission
"The application must be accompanied by a Biodiversity Net Gain Metric, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-net-gain-assessment/",Full planning permission
"The application must be accompanied by a Land Contamination Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/land-contamination-assessment/",Full planning permission
The application should be accompanied by a Green Belt Impact Assessment. Further details about the information required can be found on our web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/,Full planning permission
"We require scaled plans in metric and PDF format showing the existing and proposed floor layouts and correctly annotated - A scale bar must be included on all plans submitted and plans annotated correctly,",Full planning permission
A scale bar must be included on all plans submitted as outlined in the Council's validation checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/,Full planning permission
"An existing and proposed site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Full planning permission
The submitted plans are inadequate. Please provide full elevational drawings (including front and rear) of the proposed works.,Full planning permission
"The application must be accompanied by a Heritage Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at Local information requirements: Heritage assessment?Salford City Council .",Full planning permission
A tree survey is required to accompany the planning application. The survey should be in accordance with the Council's Supplementary Planning Document in relation to Trees and Development. Further information can be found on the following Arboricultural Web site http://www.trees.org.uk/,Full planning permission
The proposal states Proposed change of use from dwelling into three self contained flats yet the submitted proposed layout plan only shows 2 self contained flats at ground and second floor level,Full planning permission
A scale bar must be included on all plans submitted as outlined in the Council's validation checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/,Full planning permission
The fee will be dependant on how many flats are being proposed it is £578 per flat,Full planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Full planning permission
"The 1.1250 location plan submitted is incorrect it should only have one thin red continuous line around the boundary of the proposal, it must not be dotted or hatched, please provide an amended plan.",Full planning permission
A scale bar must be included on all plans submitted as outlined in the Council's validation checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/,Full planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Full planning permission
The proposed floor layout plan is annotated as 2 no. bedroom 5 - please amend,Full planning permission
"The application must be accompanied by a Heritage Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at Local information requirements: Heritage assessment?Salford City Council .",Full planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Full planning permission
"The application must be accompanied by a Biodiversity Net Gain Metric in an excel; format, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-net-gain-assessment/",Full planning permission
"The application must be accompanied by a Biodiversity survey, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-survey-and-reports/",Full planning permission
"The submitted fee is insufficient. A fee of £1156 is required for this application. Please pay the fee directly to Planning Portal, once payment has been made please email evidence to planning.contact@salford.gov.uk.",Full planning permission
"An existing and proposed site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Full planning permission
Please provide scaled elevation plans of the proposed fencing these must include a scale bar Please provide a Site layout plan showing the exact location of the proposed fence Plans must be submitted in PDF format,Full planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Full planning permission
The location plan and the 2 site plans all have a different site area marked with the red line. Please clarify which is correct and amend accordingly.,Full planning permission
A scale bar must be included on all plans submitted as outlined in the Council's validation checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/,Full planning permission
Please submit a Planning Supporting Statement (including Town Centre Sequential Test & Loss of Employment Land/site Assessment),Full planning permission
"The application must be accompanied by a Noise Impact Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/",Full planning permission
"The application must be accompanied by a Crime Impact Statement, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/crime-impact-statement/",Full planning permission
"Please clarify if the disabled access ramp is included to the proposal, as the existing proposal mentions the ramp but states that no external changes are being made. If the ramp is proposed. please include it in the plans and provide elevation plans from where it is visible.",Full planning permission
Please include a north arrow to the site plans.,Full planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Full planning permission
"Please provide the use of the proposed commercial unit (Restaurant, Bar, Takeaway ect) as requested at pre-app . Depending on the use we may require an odour statement",Full planning permission
"Please provide details of the levels changes on site. There is reference in the submission to cut and fill, and we have been provided with a topographical survey of the site as it stands, but there is no detail provided of the cut and fill and the proposed post-remediation land levels.",Full planning permission
The biodiversity statement has not successfully arrived through the Planning Portal to our system. Please submit it via planning.contact@salford.gov.uk.,Full planning permission
"Please submit a preliminary risk assessment. including a conceptual model and a site walk over, and a site investigation if necessary",Full planning permission
Please submit a landscaping scheme.,Full planning permission
Detailed highway drawings/information to demonstrate how the development will comply with the requirements of the highways officer (please see highways comments in the Highway section of above),Full planning permission
Please submit sectional scaled elevational plans of the boundary treatments.,Full planning permission
Please submit a construction management plan.,Full planning permission
Please submit finish floor levels plans.,Full planning permission
"There is a difference in the proposed rear plans submitted. Plan 02 shows proposed rear elevation with extraction details . the detail drawings does not show this information on the proposed rear elevation , please amend",Full planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Full planning permission
The application form - Question residential floor space has been completed as no yet the application is for 8no. dwellings this should be reflected in the proposal,Full planning permission
A fee of £578.00 is required for this application. Please pay by calling 0161 779 6195.,Full planning permission
"Please clarify if the dropper kerb is proposed on the side of Manchester Road East or Russel Street. If to Manchester Road East, the dropped kerb will need a planning permission and will need to be included in the proposal with the red line in the location plan amended to include it. The site plans and the detailed plans will also need to include them. Certificate B would also need to be signed and notice served to the Salford Council highways department.",Full planning permission
There are trees on the site of the proposed development. A tree survey is required to accompany the planning application. The survey should be in accordance with the Council's Supplementary Planning Document in relation to Trees and Development. Further information can be found on the following Arboricultural Web site http://www.trees.org.uk/,Full planning permission
"The application must be accompanied by a Biodiversity Net Gain Metric, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-net-gain-assessment/",Full planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Full planning permission
"The 1.1250 location plan submitted is incorrect it should only have one thin red continuous line around the whole boundary not just a section of the proposed site, please provide an amended plan.",Full planning permission
A tree survey is required to accompany the planning application. The survey should be in accordance with the Council's Supplementary Planning Document in relation to Trees and Development. Further information can be found on the following Arboricultural Web site http://www.trees.org.uk/,Full planning permission
"The application must be accompanied by a Biodiversity survey, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-survey-and-reports/",Full planning permission
"Please confirm that the site address is 61, 61A and 61B Liverpool Road, IRLAM, MANCHESTER, M44 6EH.",Full planning permission
Please provide scaled roof plans in metric.,Full planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Full planning permission
"The application must be accompanied by a Biodiversity survey and Net Gain Report, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-survey-and-reports/",Full planning permission
"Please provide existing and proposed elevation plans with the development in the context of the existing building in metric and PDF format, scales and scale bars included.",Full planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Full planning permission
"The application must be accompanied by a Heritage Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at Local information requirements: Heritage assessment?Salford City Council .",Full planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Full planning permission
"The application must be accompanied by a Biodiversity Net Gain Metric, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-net-gain-assessment/",Full planning permission
The incorrect fee has been paid due to the wrong box being ticked on the fee calculation page. Please create a version 2 via the planning portal and select Other ( the erection of buildings ) on the fee calculation page. which will provide you with correct amount so you can make a payment.,Full planning permission
Please submit a schedule with the apartment sizes in sqm.,Full planning permission
Fire safety statement required (proposals for buildings over 18m (7 storeys) tall containing more than one dwelling will require a 'Fire Statement'.,Full planning permission
"Please submit a topographical site plan with existing and proposed levels, gradients and services.",Full planning permission
"The 1.1250 location plan submitted is incorrect it should only have one thin red continuous line around the boundary of the proposal, it must not be dotted or hatched, please provide an amended plan.",Full planning permission
"An existing and proposed site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Full planning permission
The proposed floor layouts must show each of the room sizes and communal areas in metric. Please ensure the lounge area is completed,Full planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Full planning permission
"Drawing number 4 seems to be incorrectly annotated? ""Existing Bin Location Plan"" should this be ""Proposed bike store""",Full planning permission
Confirmation is required for how many persons are residing at the property,Full planning permission
The submitted plans are missing. Please provide full elevational drawings of the existing & proposed works Or confirmation that no changes are to be made.,Full planning permission
"A scale bar must be included on all plans submitted, new plans submitted are missing this scale bar outlined in the Council's validation checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/",Full planning permission
"The application must be accompanied by a Land Contamination Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/land-contamination-assessment/",Full planning permission
We require a VU City 3D model as per the validation check list  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/vu-city-3d-model/,Full planning permission
"Viability Statement Required (Where a developer considers that it is not financially viable to enter into an agreement, or that they can only make reduced payments from that sought by the city council, then a clear and robust unredacted financial viability assessment, to include an executive summary, will be required. An application will not be considered as ?valid? unless a financial viability assessment has been submitted. Viability assessments will be made publicly available. Further details of what should be included within the viability assessment are detailed within the Planning obligations pro forma statement. available on the link https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/planning-obligations-pro-forma-statement/",Full planning permission
Topographic survey plan is required,Full planning permission
"The application must be accompanied by a Heritage Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at Local information requirements: Heritage assessment?Salford City Council .",Full planning permission
"The fee exemption was applied, however it applies to for development of the same character or description. The previous application was for one dwelling only. Please pay the fee for two dwellings £1,156.00 via www.planningportal.co.uk and email proof of the payment to planning.contact@salford.gov.uk.",Full planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Full planning permission
"The application must be accompanied by a Biodiversity Net Gain Metric, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-net-gain-assessment/",Full planning permission
"The application must be accompanied by a Land Contamination Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/land-contamination-assessment/",Full planning permission
"The application must be accompanied by a Drainage strategy, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/drainage-strategy/",Full planning permission
A tree survey is required to accompany the planning application. The survey should be in accordance with the Council's Supplementary Planning Document in relation to Trees and Development. Further information can be found on the following Arboricultural Web site http://www.trees.org.uk/,Full planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Full planning permission
"The submitted fee is insufficient. A fee of £1156 is required for this application. Please pay a further fee of £863 the fee directly to Planning Portal, once payment has been made please email evidence to planning.contact@salford.gov.uk.",Full planning permission
"The application must be accompanied by a Heritage Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at Local information requirements: Heritage assessment?Salford City Council .",Full planning permission
"Invalid address - Application from   We have found a discrepancy in the address provided on your application from.  The address was entered as "" 19, willin industrial estate , salford, M50 2XS""   However the location plan you have provided shows the below address on our system as ""Unit 19, Willan Industrial Estate, Vere Street M50 2GR""   Please can the address be checked and a new application form submitted.",Full planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Full planning permission
"Application form question - All Types of Development: Non-Residential Floorspace. Has been answered as NO, However the application is for change of use, please can this be amended",Full planning permission
Application from - House of opening - Details required,Full planning permission
Details on the extraction flue required (manufacture brochure),Full planning permission
"The 1.1250 location plan submitted is incorrect it should only have one thin red continuous line around the boundary of the proposal, it must not be dotted or hatched, please provide an amended plan.",Full planning permission
"A existing and proposed site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Full planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Full planning permission
"A preliminary bat inspection is required, the results of which will determine if further survey effort is necessary.",Full planning permission
"After reviewing the location plan provided, you appear to have put a redline around the wrong property. Your application form records the site address as 252 Chorley Road, SWINTON, MANCHESTER, M27 6UN. Please confirm and amend accordingly.",Full planning permission
"Application form - Biodiversity net gain - The exemption reason is incorrect, please amend.",Full planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Full planning permission
Your Application form has been incorrectly completed and is showing the creation of 5 residential units. You have selected a self-build/custom build which is also incorrect. A 2 bedroom dwelling via the extension to the basement is proposed according to the plans submitted. Please confirm and amend your application form accordingly,Full planning permission
"The proposed left elevation X-section ref 003 showing the balcony balustrade appears to be incorrect, please amend.",Full planning permission
The pre-application advice notes Construction Management Plan as a validation requirement. It is noted that it is said it could be conditioned. Please clarify if you intend to submit one.,Full planning permission
The pre-application advice notes Car Park Management Plan as a validation requirement. It is noted that it is said it could be conditioned. Please clarify if you intend to submit one.,Full planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Full planning permission
A scale bar must be included on all plans submitted as outlined in the Council's validation checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/,Full planning permission
The plan showing the existing front elevation shows a side building which's not shown on the proposed plans,Full planning permission
"Confirmation is required on the following: The application form states address as Bank House, Bury old Road, the submitted plans are titled 1 George Street - please amend to correct address Proposal on application form states Change of use to dormitory block , the planning statement proposal says into four residential apartments - please amend to correct proposal",Full planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Full planning permission
A scale bar must be included on all plans submitted as outlined in the Council's validation checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/,Full planning permission
A scale bar must be included on all plans submitted as outlined in the Council's validation checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/,Full planning permission
"The creation of floor space with a mezzanine over 685sqm requires a planning permission. The application is proposing the creation of 340sqm with the mezzanine. The for this is £5,780.00. As £578.00 has been received to date, there is a top up fee of £5,202.00 to pay. This can be paid over the phone by card on 0161 779 6159.",Full planning permission
The proposed general arrangements plans document includes a location plan with the red line around the entire building. Please amend it to only indicate the site area.,Full planning permission
Please state in the plans that there are no changes proposed to the south west and north east elevations if this is the case.,Full planning permission
"An existing and proposed site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Full planning permission
"The application must be accompanied by a Crime Impact Statement, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/crime-impact-statement/",Full planning permission
"The development falls in the bat protection zone. Please see the below regarding the conditions that are likely to affect a bat roost. Either confirm that those conditions/bats are not present, or provide a bat survey.   Construction, demolition, extension or conversion proposals could affect a bat roost in a building or barn. You are required to submit a bat survey where roosts are likely if the building or barn: has little or no disturbance from artificial lighting is close to woodland or water has uneven roof tiles and large roof timbers has cracks, crevices and small openings has a roof that warms in the sun with a large roof space for flying has hanging tiles or timber cladding on south-facing walls and has not been used for several years https://www.gov.uk/guidance/bats-advice-for-making-planning-decisions",Full planning permission
"The application must be accompanied by a Drainage strategy, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/drainage-strategy/",Full planning permission
"The application must be accompanied by a Flood Risk Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/ Or go the Environment Agency web page https://www.gov.uk/guidance/flood-risk-assessment-for-planning-applications.",Full planning permission
"The application must be accompanied by a Heritage Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at Local information requirements: Heritage assessment?Salford City Council .",Full planning permission
Please submit the BNG calculation tool in excel format.,Full planning permission
You are required to submit a Northwest SUDs Pro forma.,Full planning permission
"A proposed site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Full planning permission
Please clarify if a change of use has been applied for. The fee has been calculated with a change of use.,Full planning permission
Please confirm the proposed floor area of the mezzanine in sqm.,Full planning permission
"The application must be accompanied by a Flood Risk Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/ Or go the Environment Agency web page https://www.gov.uk/guidance/flood-risk-assessment-for-planning-applications.",Full planning permission
"The fee has been calculated incorrectly on the planning portal the gross external floor space as been completed as no, however the application proposal and plans shows extension to the existing, you can not off set on what floorspace is being lost. please provide the correct information. Please pay the additional fee directly to Planning Portal, once payment has been made please email evidence to planning.contact@salford.gov.uk.</p>",Full planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Full planning permission
"The submitted fee is insufficient. A fee of £578 is required for this application. Please pay the additional fee of £285 directly to Planning Portal, once payment has been made please email evidence to planning.contact@salford.gov.uk.",Full planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, how many residents will be residing at the property BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Full planning permission
The proposed 2nd floor layout plan is annotated incorrectly is it showing bedroom 3.1 yet it is an ensuite please amend this plan together with the plan within the planning statement,Full planning permission
Please submit scaled proposed sectional drawings from each side the proposal affects.,Full planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Full planning permission
Please not that signage cannot be applied for on this type of application. You can find further information on www.planningportal.co.uk on whether advertisement consent is required. You can also apply on the same site.,Full planning permission
"The application must be accompanied by a Biodiversity Net Gain Metric, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-net-gain-assessment/",Full planning permission
"There appears to be tree(s) within the vicinity of the proposed development. We require the full crown spread of the tree(s) and their root protection zone plotting accurately on a scaled site plan, in order that we can assess whether there will be any impact on the trees or whether it will be necessary to require a full tree survey to be submitted to accompany the application.",Full planning permission
"A Design and Access Statement in support of your application, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Full planning permission
